"ID","Date","Bill Number","Amount(AED)","Paid To","Purpose of Payment","Mode of Payment"
"PAY-2025-07-30-0078","2025-07-30","85858",3786.0,"","fuysdaf","Cash"
"PAY-2025-07-29-0077","2025-07-29","2134",535.0,"ABBAS GLASS INDUSTRY LLC","billing of glasses",""
"PAY-2025-07-29-0076","2025-07-29","64784",6877.99,"ABBAS GLASS INDUSTRY LLC","bills","Bank"
"PAY-2025-07-29-0074","2025-07-29","7324697",5758.0,"ABBAS GLASS INDUSTRY LLC","","Credit Card"
"PAY-2025-07-29-0073","2025-07-29","123",200.0,"ABBAS GLASS INDUSTRY LLC","Agsj","Cash"
"PAY-2025-07-29-0072","2025-07-29","67688",5786.0,"ABHA Garage","","Cash"
"PAY-2025-07-29-0070","2025-07-29","3",222.0,"","","Cash"
"PAY-2025-07-29-0068","2025-07-29","753549",753.0,"Advance General Trading Co.LLC","hgfkks","Cash"
"PAY-2025-07-29-0067","2025-07-29","123",200.0,"Advance General Trading Co.LLC","fed","Cash"
"PAY-2025-07-29-0066","2025-07-29","123",200.0,"AD Aiprort","Nails","Bank"
"PAY-2025-07-29-0065","2025-07-29","56972",76468.97,"Adel Almulla Car Accessories","jhgkcxgkj","Cash"
"PAY-2025-07-29-0064","2025-07-29","123",200.0,"Akkad Pest Control Services","idk","Credit Card"
"PAY-2025-07-28-0063","2025-07-28","93507530",67349.0,"Advance General Trading Co.LLC","bjfhck","Cash"
"PAY-2025-07-28-0062","2025-07-28","06808060",5657.0,"Adhwa Al Mdinah Documents Typing & Copyings","fiiyg","Cash"
"PAY-2025-07-28-0061","2025-07-28","486456858",7667.99,"Adel Almulla Car Accessories","fgjfkgk","Credit Card"
"PAY-2025-07-28-0060","2025-07-28","658",566.99,"Aboras Group","fjgk","Cash"
"PAY-2025-07-28-0059","2025-07-28","123",123.0,"ABHA Garage","",""
