Item Code,Item Name,Total Projected Qty,Default Unit of Measure,Standard Selling Rate,Item Group,Auto Create Assets on Purchase,Minimum Order Qty,Allow Purchase
11115BDS Oak Veneer,11115BDS Oak Veneer,19.2,Sqm,24,Artifical Veneer,1,1,1
Bleached Hemlock,Bleached Hemlock,,,,Artifical Veneer,1,1,1
Contemporary Walnut Veneer,Contemporary Walnut Veneer,3.968,Sqm,26.4,Artifical Veneer,1,1,1
Ebony Brown Light 12511,Ebony Brown Light 12511,16,Sqm,24,Artifical Veneer,1,1,1
EV Balancer Layon (250x127CM),EV Balancer Layon (250x127CM),31.75,Sqm,4.15,Artifical Veneer,1,1,1
Natural Oak Ref: 11002-DS,Natural Oak Ref: 11002-DS,16,Sqm,36.47,Artifical Veneer,1,1,1
Natural Wood Veneer Grey Elm,Natural Wood Veneer Grey Elm,130.5,Sqm,11,Artifical Veneer,1,1,1
Random Smoked Walnut 15011M,Random Smoked Walnut 15011M,,,,Artifical Veneer,1,1,1
Reccon Argento 10722-Q,Reccon Argento 10722-Q,395.2,Sqm,24,Artifical Veneer,1,1,1
Reccon V079 Paldao Veneer Quarter,Reccon V079 Paldao Veneer Quarter,12.94,Sqm,33,Artifical Veneer,1,1,1
Recon Apricot 1822c Half-Crown,Recon Apricot 1822c Half-Crown,,,,Artifical Veneer,1,1,1
Recon Cool Grey 15395F Veneer,Recon Cool Grey 15395F Veneer,32,Sqm,26.78,Artifical Veneer,1,1,1
Recon Dyed Ayous Platinum Slp-025,Recon Dyed Ayous Platinum Slp-025,96,Sqm,14.25,Artifical Veneer,1,1,1
Recon DYED Grey -001,Recon DYED Grey -001,214.4,Sqm,14.25,Artifical Veneer,1,1,1
Recon Dyed Quilted Maple Sunsilk RC,Recon Dyed Quilted Maple Sunsilk RC,41.02,Sqm,170,Artifical Veneer,1,1,1
Recon Ebony O/S Pressing,Recon Ebony O/S Pressing,,,,Artifical Veneer,1,1,1
Recon Ebony Veneer,Recon Ebony Veneer,,,,Artifical Veneer,1,1,1
Recon Grey Limed Oak Light 15995,Recon Grey Limed Oak Light 15995,16,Sqm,25.6,Artifical Veneer,1,1,1
Recon Lime Wash Grey Tulip WRVLWGT009,Recon Lime Wash Grey Tulip WRVLWGT009,35.2,Sqm,23,Artifical Veneer,1,1,1
Recon Maple Birdeye Blue,Recon Maple Birdeye Blue,,,,Artifical Veneer,1,1,1
Recon Maple Birds Eye Blue TX100 ST 253,Recon Maple Birds Eye Blue TX100 ST 253,14.63,Sqm,33.75,Artifical Veneer,1,1,1
